"","class","a","k"
"1","Phosphazene and phosphazene derivatives","6.37377687567861","0.532561165200538"
"2","Glycerophosphocholines","10.599259742801","0.495281494654549"
"3","Ceramides","1.18704718934283","0.846094910489648"
"4","Glycosphingolipids","7.87851302254833","0.542329875510702"
"5","Purine nucleotide sugars","9.01801332349486","0.495708312683187"
"6","Cyclic purine nucleotides","12.7758951842098","0.448229476911251"
"7","Benzoic acids and derivatives","10.1941131311322","0.502693183003248"
"8","Purine deoxyribonucleotides","31.4383612609984","0.289315229139148"
"9","Tryptamines and derivatives","41.5350762830517","0.238495734404354"
"10","Purine ribonucleotides","12.5503815459871","0.442743744831885"
"11","Glycerophosphates","9.65042236694683","0.506680023801739"
"12","Pyrimidine ribonucleotides","11.467758354049","0.457609146524118"
"13","Imidazoles","15.3173378912882","0.42552133561776"
"14","Pyrimidine nucleotide sugars","4.13553493989307","0.618040889794887"
"15","Pyrimidine deoxyribonucleotides","32.3095078130246","0.282341918884935"
"16","Purines and purine derivatives","18.5284037251267","0.386868193039278"
"17","Tricarboxylic acids and derivatives","18.5004137876778","0.384987123281804"
"18","Alcohols and polyols","29.7768288958983","0.295636844611881"
"19","Pyridine carboxaldehydes","18.4530275794512","0.383380053833603"
"20","Eicosanoids","9.97151877080246","0.50480005235755"
"21","Benzopyrenes","25.5850552911343","0.323700182563592"
"22","Lineolic acids and derivatives","4.44976110636783","0.65139087212741"
"23","Pregnane steroids","31.0559107408735","0.311936631216546"
"24","Carbonyl compounds","10.8636831540627","0.493147429980794"
"25","Pyridinecarboxylic acids and derivatives","38.8835079869977","0.241511359860712"
"26","Quinoline carboxylic acids","7.47708825571114","0.554292707231216"
"27","O-methylated flavonoids","10.5074991820757","0.494057908442172"
"28","Hydroxysteroids","1.42659757660585","0.836551725266131"
"29","Bile acids, alcohols and derivatives","51.757837342206","0.225586315848615"
"30","Hybrid peptides","10.6313688872388","0.481967115357117"
"31","Fatty acid esters","6.81103077815772","0.57189370563998"
"32","Benzenesulfonamides","29.0426101933219","0.310712940557411"
"33","Sulfated steroids","85.294158086151","0.140633850542657"
"34","Glycerophosphoserines","9.40311281968559","0.509639006467207"
"35","Glycerophosphoinositols","5.89385558391009","0.57729043853048"
